,brand,overall,reviewText,summary
272,"by
    
    Electronic Arts",4,"When I first got the game, it was &quot;Wow&quot;, thinking it would be the best.  I have to admit, it is better than some games I have already played, but it just didn't have the zing of the other C&amp;C games.The computer stinks.  I could beat them playing as GDI(good guys), which is hard because NOD(bad guys) has all the best vehicles, units, and structures.  I love the Missile Silo.  Talk about blitzcrieg on your opponent!!  If you want to have about a 65% chance of winning, stick with NOD.I wouldn't recommend the missions, because they are all too easy or all too hard.  I stick to skirmish and internet games myself.I might venture to say that it is worth an inexpencive look.  Maybe even borrowing it from a friend.All-in-all, I would have to say that the graphics are superb, stories are bad,  sound is so-so, and gameplay is dependant on which side you choose(NOD being better).","It's alright, but not the best."
380,"by
    
    Electronic Arts",4,"Perhaps SC3K's main problem is that it is far too detailed. Even on a speedy top-end machine the screen will fill with portions of white if you try to scroll at one of higher resolutions. Perhaps this is also SC3K's  main virtue - the fact that you can see down to the last person in your  metropolis. Whatever you say, despite the game's vast graphical and  not-so-vast strategic advances, it failed to do what the fans of the series  held closest to their hearts - personalization. The city develops  completely at random within your zonal confines - you cannot make a  candleshop district, a Downtown, or anything of the sort. You cannot name  streets, despite the fact that you place them yourself. The papers mention  you rarely and glancingly, at best, preferring to metion senseless rock  bands (whose names you cannot supply either) or some other uneventful  thing. The advisors are as helpful as ever - specifically, useless. They  either take no notice of the trouble befalling your city, or they take  notice of something very minor and blow it up to the size of a scandal. THE  1% COMMERCIAL TAX IS KILLING THE CITY!  REMOVE THE PARKING FINES!  All  the while industry fails to develop and a major power outage goes  unnoticed.This game is a cleaner, crisper version of SimCity 2000,  perhaps an update, but in no way a new game in the series.",Spawling
381,"by
    
    Electronic Arts",4,"I enjoy playing this game for the most part. I have spent hours glued to the computer watching my cities grow. Unfortunately as the cities increase in population, so does the chances of the computer crashing - a very annoying problem. Also the parades last too long, the seaports are difficult to develop, the terrain for some cities, such as St. Louis, are unusually hilly, and the buildings look alike. The game is not that challenging. But overall a recommended game.",Can be addictive
382,"by
    
    Electronic Arts",5,"Ever since I got this game I've loved it, i lost it so i recently had to buy another one, but you get the hang of things pretty quickly... very very fun game!",Fun Fun game
385,"by
    
    Electronic Arts",5,"Talk about being able to play a game forever, this seems to be the case with SC3000.  This game is well done, with many features, controls, interfaces, and ultimately, complete control for you the Mayor.  I have played this game over and over and built incredible cities like New San Francisco.  I know you will experience tons of fun when you buy this one.",Endless Joy
386,"by
    
    Electronic Arts",4,"Making a City, it's a change for once. I like this game because it gives easy control, and it's fun to play. There are some down-sides to it too, like it takes too long to make a big city, and Sims complain tooooo much, but it's all good other then that. My favorite thing to do is save the city, then rip it down by disteasters. The good thing is you don't have to save it after you destory it. This game can be easy or hard, like if you want to make a big city, it takes time, and it's hard, but if you use codes like:I am weak, Call coison Vinnie, I love Red Tape, Power to the masses, Water in the desert, Garage in garage out, and nardz rool(actually spelling) it's eazy (...). Graphics, well it isn't that good on making small sims, but good on everything else, 9/10 Fun, a very fun game, isn't has fun as some games, but it's cool,7/10 Gameplay, well, if you like making cities, then it has long gameplay, 8.5/10 Sound, I really like the sound because it makes me think more,9.5/10 Overall, you would love this game, but it's fun isn't like some games 8.5/10 which is Great/Awesome and 4 stars for Sim City 3000!","A game that can be easy, or hard!"
391,"by
    
    Electronic Arts",5,"When you first buy this game, you will need to give it time. Reading the  Manual first just might be alot of help. The game starts out in pause mode.  This gives you time to zone space for roads, residental &amp; commercial or  indutry zones, water pipes and electrical wires. It times take to know the  best way to zone RCIs. It's not easy and money can disappear fast so don't  go crazy zoning everything and destorying things, it will cost you. It sum  this review in one sentence. It takes time to build a perfect city so try  different approaches and eventually your get it right.",Give it time...
392,"by
    
    Electronic Arts",4,"First off, let me clear up some misstatements about the features listed above by amazon.com:*Realistic 3-D environmentWrong. The game is 2D, it merely looks 3D. It IS realistic, however. There is far more detail in  2D than could ever have been done in 3D and still hae it run on everyone's  machine.*View cities from up to 50,000 feetI guess...you have 5 zoom  levels. The above implies that you can zoom to any level.*Detailed  control over businesses and other facilitiesNone whatsoever other than  being able to zone blocks of residential, commercial, and industrial areas,  along with other specialized zones. You can't micromanage any individual  businesses.*Everything and everyone movesCars and SimCitizens move,  so do some animated buildings, but certainly not EVERYTHING.*Optional  load-in sets for customization and enhancementsThat's handled much  better in SC3K Unlimited.SimCity 3000 is a mixed bag for me. I love  being able to play a fully updated version of 2000, but whether it should  be called 3000 or 2100 is something of a dilemma.Graphics-wise, 3000 is  beautiful! No two ways about it. A lot of hype has gone into the fact that  you can now zoom in and see little sims walking, driving around in  individual cars, and so on. The building images are now fully 4-sided  entities so that rotating the view yields 4 different looks at each  feature. Five zoom levels let you choose the size you're comfortable with  to build on. Some people claim that the buildings are blocky and pixellated  at the highest zoom. I don't have that problem, but they are definitely not  the crisp renders that the other 4 zooms are. They are merely enlargements  of the 4th zoom. Vehicles and pedestrians remain crisp and distinct at any  zoom.Gameplay: here's the sticking point for me. If you've continued to  play SimCity 2000 until you're red-eyed and guaranteed to be late for  work/school, you'll probably do the same with 3000. Given all the new bells  and whistles, it'll take some time to try them all and see how this affects  that. From this point, however, two camps emerge. One camp will continue  playing the game for years and loving every minute of it, relishing the  freedom to create anything they want. I fall into this category. The other  camp, once having seen everything and mastered building megalopoli at will,  are going to wonder what's the fun anymore. So depending on your  expectations for the game it'll be either a gift from heaven or something  you may well have wished didn't cost 40 to 50 bucks.As for difficulty,  it's no harder really than 2000. Some of the new features like garbage  disposal, ordinances, and neighboring city dealings add depth and strategy  without making the game unduly complex. Maxis should be commended for  that.Overall? It's good. In fact it's very good. They put a lot of work  into it making sure everything balances more or less. Is it worth the  money? Not now with SC3K Unlimited out. Get it instead, as it's much more  refined. If you haven't played a SimCity game before or if you're a diehard  2000 fan, absolutely. If you just sorta liked 2000 and quit playing it  after a little bit, you may want to wait until it hits the bargain rack.","It's better than SimCity 2000, but...."
393,"by
    
    Electronic Arts",5,"I can play this game comfortably on my old XP machine without a special video card. That's worth a lot in my book. Not to mention the joy of spending most of my gaming time BUILDING rather than destroying. However, if you want, you can sick all kinds of crises and destroy the city if you want.... sometimes that's fun. This is a great strategy game.",Awesome Game: No Killing!
395,"by
    
    Electronic Arts",5,"Sim City 3000 is really cool!  You start off by making a Power Plant(I prefer Fusion or Microvave),laying power lines,zoning Residentail,Commercail,and Industrial areas,disposing of garbage,Making Roads and/or a Mass Transit System,Make Water Structures and pipelines,and Take care of Civic needs.  Later in the game you might want to enact some ordinances(rules/laws),Make business deals with neighbors and organizations,set a budget(earlier on the computer does it for you),build rewards which most of them can only be optained thru Business Deals( ones optained without deal:county courthouse,Mayoral Mansion also know as you're house,city hall,performing of arts center,and Monument/statue. ones optained thru deal:Gigamall,Amusement Park,Space Port,Defense Contractor,Country Golf Club,etc.).  Plus you can add Landmarks to you're City.  This is a Great game,but for Sim City 2000 fans that want a totaly different game get the Unlimited Version(also known as Sim City 3000 Unlimited).",really great
