Unnamed: 0,1: Easy to Use  (Clear Steps),1: Works Fine (Fast),2: Recomendaría,5: Long-term users,6: Adapt from Previous Versions,8: Amazon purchase (price),11: Easy to Use,12: Online version (mobile app),15: Install/download problems,20: Turbo Tax,21: SO versions,23: Interface User friendly,Dom_Topic
41843,0.03,0.03,0.03,0.14,0.03,0.03,0.03,0.03,0.03,0.11,0.03,0.03,5
41844,0.02,0.02,0.02,0.02,0.02,0.06,0.02,0.02,0.03,0.29,0.02,0.02,20
41845,0.01,0.01,0.01,0.06,0.01,0.03,0.01,0.02,0.09,0.09,0.01,0.01,7
41846,0.08,0.01,0.01,0.06,0.03,0.02,0.01,0.03,0.06,0.1,0.02,0.01,17
41847,0.04,0.04,0.02,0.04,0.08,0.02,0.01,0.01,0.09,0.28,0.01,0.01,20
41848,0.03,0.03,0.03,0.19,0.03,0.06,0.03,0.06,0.03,0.06,0.03,0.03,5
41849,0.04,0.04,0.04,0.04,0.04,0.04,0.07,0.07,0.04,0.04,0.04,0.04,14
41850,0.03,0.07,0.03,0.07,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.03,3
41851,0.07,0.01,0.02,0.03,0.01,0.07,0.01,0.07,0.08,0.17,0.02,0.01,20
41852,0.02,0.02,0.02,0.07,0.02,0.02,0.02,0.02,0.03,0.08,0.02,0.02,3
41853,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,19
41854,0.03,0.03,0.03,0.03,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.03,9
41855,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,19
41856,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,8
41857,0.08,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0
41858,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,2
41859,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,3
41860,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.04,0.04,18
41861,0.03,0.11,0.03,0.02,0.03,0.07,0.03,0.03,0.03,0.09,0.03,0.03,1
41862,0.02,0.05,0.02,0.02,0.02,0.04,0.04,0.08,0.02,0.24,0.03,0.02,20
41863,0.09,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0
41864,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.03,0.03,0.03,0.03,0.03,9
41865,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.08,8
41866,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,6
41867,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,3
41868,0.03,0.03,0.03,0.03,0.03,0.1,0.07,0.03,0.05,0.03,0.03,0.03,8
41869,0.02,0.05,0.02,0.05,0.1,0.02,0.05,0.02,0.03,0.02,0.04,0.02,7
41870,0.03,0.03,0.03,0.11,0.03,0.03,0.03,0.04,0.04,0.11,0.03,0.03,5
41871,0.03,0.03,0.03,0.06,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.03,7
41872,0.03,0.08,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,4
41873,0.01,0.03,0.04,0.04,0.01,0.05,0.01,0.03,0.25,0.06,0.01,0.01,15
41874,0.04,0.04,0.04,0.04,0.04,0.06,0.04,0.04,0.04,0.06,0.05,0.04,8
41875,0.08,0.01,0.03,0.05,0.03,0.03,0.01,0.01,0.03,0.27,0.01,0.01,20
41876,0.06,0.03,0.03,0.06,0.08,0.06,0.06,0.06,0.03,0.03,0.05,0.03,22
41877,0.02,0.04,0.04,0.08,0.04,0.08,0.02,0.04,0.02,0.07,0.03,0.02,5
41878,0.03,0.11,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.09,0.03,0.03,1
41879,0.03,0.12,0.03,0.03,0.03,0.06,0.03,0.03,0.03,0.11,0.03,0.03,1
41880,0.02,0.02,0.02,0.04,0.02,0.04,0.02,0.02,0.04,0.07,0.02,0.02,16
41881,0.03,0.03,0.05,0.11,0.06,0.05,0.06,0.03,0.03,0.05,0.03,0.03,5
41882,0.02,0.02,0.02,0.09,0.04,0.06,0.02,0.07,0.02,0.06,0.02,0.02,7
41883,0.03,0.03,0.03,0.16,0.03,0.03,0.03,0.03,0.08,0.03,0.07,0.03,5
41884,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.06,0.04,0.04,3
41885,0.04,0.04,0.04,0.03,0.04,0.03,0.04,0.07,0.04,0.04,0.04,0.04,7
41886,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.12,0.03,0.03,20
41887,0.03,0.03,0.07,0.03,0.03,0.07,0.07,0.03,0.07,0.03,0.03,0.03,2
41888,0.02,0.02,0.02,0.03,0.04,0.04,0.04,0.03,0.1,0.04,0.03,0.02,7
41889,0.03,0.03,0.03,0.03,0.06,0.03,0.03,0.03,0.06,0.23,0.03,0.03,20
41890,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1
41891,0.02,0.05,0.02,0.1,0.05,0.02,0.02,0.02,0.14,0.1,0.03,0.02,15
41892,0.02,0.05,0.07,0.02,0.05,0.08,0.05,0.02,0.03,0.06,0.03,0.02,8
41893,0.08,0.05,0.02,0.04,0.05,0.02,0.05,0.02,0.16,0.03,0.02,0.02,15
41894,0.03,0.03,0.07,0.03,0.03,0.03,0.07,0.03,0.03,0.03,0.03,0.03,7
41895,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0
41896,0.03,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,3
41897,0.02,0.02,0.03,0.15,0.03,0.01,0.03,0.05,0.09,0.07,0.02,0.01,5
41898,0.02,0.02,0.02,0.08,0.02,0.07,0.04,0.05,0.02,0.11,0.02,0.02,20
41899,0.03,0.06,0.06,0.09,0.03,0.03,0.06,0.06,0.03,0.03,0.03,0.03,5
41900,0.04,0.08,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1
41901,0.08,0.04,0.04,0.04,0.04,0.14,0.04,0.04,0.04,0.04,0.04,0.04,8
41902,0.02,0.05,0.04,0.09,0.02,0.02,0.02,0.03,0.06,0.08,0.07,0.02,5
41903,0.02,0.02,0.02,0.1,0.02,0.02,0.02,0.02,0.05,0.1,0.02,0.05,5
41904,0.02,0.02,0.03,0.03,0.02,0.02,0.04,0.04,0.06,0.17,0.03,0.02,20
41905,0.04,0.04,0.02,0.08,0.01,0.03,0.01,0.06,0.01,0.06,0.02,0.04,7
41906,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.03,0.03,0.07,0.03,0.11,23
41907,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,18
41908,0.01,0.01,0.02,0.07,0.02,0.01,0.02,0.02,0.09,0.17,0.01,0.01,20
41909,0.02,0.06,0.03,0.06,0.04,0.04,0.02,0.08,0.07,0.04,0.02,0.01,13
41910,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1
41911,0.01,0.01,0.01,0.02,0.01,0.05,0.01,0.07,0.01,0.08,0.01,0.01,22
41912,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,8
41913,0.03,0.06,0.03,0.03,0.1,0.1,0.03,0.03,0.1,0.03,0.03,0.06,6
41914,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1
41915,0.07,0.01,0.03,0.01,0.01,0.02,0.04,0.05,0.03,0.15,0.01,0.01,20
41916,0.02,0.08,0.01,0.02,0.07,0.04,0.01,0.02,0.08,0.09,0.02,0.01,22
41917,0.01,0.01,0.01,0.06,0.01,0.03,0.01,0.03,0.04,0.2,0.01,0.01,20
41918,0.04,0.07,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.07,1
41919,0.0,0.01,0.02,0.03,0.04,0.01,0.01,0.11,0.17,0.12,0.01,0.02,15
41920,0.09,0.03,0.09,0.03,0.03,0.14,0.03,0.03,0.03,0.03,0.03,0.03,8
41921,0.03,0.03,0.03,0.03,0.07,0.03,0.03,0.03,0.03,0.11,0.03,0.03,20
41922,0.05,0.01,0.01,0.11,0.02,0.04,0.01,0.03,0.07,0.07,0.04,0.01,7
41923,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,2
41924,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.03,0.1,0.12,0.03,0.03,20
41925,0.03,0.06,0.03,0.14,0.03,0.03,0.03,0.09,0.03,0.03,0.04,0.03,5
41926,0.02,0.02,0.04,0.1,0.07,0.02,0.02,0.04,0.13,0.08,0.03,0.02,15
41927,0.01,0.01,0.02,0.02,0.01,0.01,0.07,0.04,0.05,0.09,0.01,0.05,3
41928,0.02,0.02,0.02,0.15,0.02,0.02,0.05,0.02,0.05,0.08,0.02,0.02,5
41929,0.06,0.06,0.05,0.02,0.03,0.08,0.03,0.03,0.04,0.07,0.03,0.03,7
41930,0.04,0.04,0.04,0.04,0.04,0.08,0.07,0.04,0.06,0.04,0.04,0.04,8
41931,0.03,0.03,0.03,0.04,0.06,0.04,0.03,0.03,0.03,0.06,0.03,0.03,7
41932,0.04,0.08,0.04,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.08,1
41933,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.09,23
41934,0.01,0.01,0.05,0.12,0.05,0.11,0.01,0.01,0.04,0.09,0.01,0.01,13
41935,0.02,0.02,0.05,0.02,0.02,0.02,0.05,0.02,0.02,0.08,0.02,0.02,3
41936,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.07,0.04,0.04,12
41937,0.04,0.08,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.08,1
41938,0.04,0.09,0.01,0.07,0.03,0.01,0.02,0.02,0.02,0.02,0.02,0.02,13
41939,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,8
41940,0.05,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.12,0.03,0.02,3
41941,0.04,0.04,0.04,0.04,0.04,0.12,0.04,0.04,0.04,0.04,0.04,0.04,8
41942,0.11,0.02,0.02,0.1,0.02,0.02,0.03,0.06,0.04,0.13,0.02,0.02,20
41943,0.05,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,5
41944,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.11,0.03,21
41945,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,4
41946,0.03,0.06,0.03,0.06,0.03,0.06,0.03,0.08,0.03,0.04,0.03,0.03,7
41947,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.04,0.04,3
41948,0.01,0.03,0.01,0.01,0.03,0.01,0.03,0.03,0.04,0.05,0.06,0.03,22
41949,0.03,0.03,0.03,0.03,0.06,0.03,0.03,0.03,0.06,0.23,0.03,0.03,20
41950,0.03,0.03,0.03,0.03,0.06,0.03,0.06,0.03,0.06,0.12,0.03,0.06,20
41951,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,4
41952,0.03,0.03,0.09,0.12,0.03,0.03,0.03,0.03,0.03,0.09,0.03,0.03,5
41953,0.08,0.02,0.02,0.07,0.05,0.02,0.07,0.03,0.03,0.02,0.05,0.05,7
41954,0.03,0.03,0.03,0.03,0.06,0.03,0.06,0.03,0.03,0.06,0.04,0.03,3
41955,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.12,0.04,0.04,20
41956,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,14
41957,0.01,0.01,0.02,0.04,0.01,0.08,0.01,0.03,0.02,0.17,0.01,0.01,17
41958,0.03,0.03,0.03,0.03,0.07,0.03,0.03,0.03,0.09,0.05,0.03,0.03,15
41959,0.03,0.03,0.06,0.11,0.06,0.06,0.09,0.03,0.07,0.03,0.03,0.03,5
41960,0.01,0.01,0.05,0.14,0.06,0.09,0.01,0.02,0.03,0.09,0.01,0.01,5
41961,0.04,0.03,0.03,0.16,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.03,5
41962,0.08,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0
41963,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,4
41964,0.04,0.04,0.04,0.04,0.07,0.04,0.04,0.04,0.04,0.11,0.04,0.04,20
41965,0.03,0.03,0.04,0.03,0.03,0.06,0.03,0.06,0.03,0.17,0.03,0.03,20
41966,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,23
41967,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.07,0.04,0.04,9
41968,0.08,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0
41969,0.07,0.03,0.03,0.06,0.03,0.03,0.07,0.03,0.03,0.04,0.03,0.03,4
41970,0.03,0.07,0.03,0.03,0.07,0.03,0.03,0.03,0.03,0.07,0.04,0.03,16
41971,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.06,0.04,0.05,0.04,0.04,6
41972,0.02,0.02,0.04,0.05,0.02,0.07,0.02,0.02,0.07,0.12,0.02,0.04,20
41973,0.03,0.06,0.03,0.18,0.03,0.03,0.06,0.03,0.04,0.03,0.04,0.03,5
41974,0.01,0.01,0.01,0.06,0.02,0.01,0.01,0.04,0.05,0.22,0.01,0.01,20
41975,0.04,0.11,0.04,0.04,0.04,0.04,0.07,0.04,0.04,0.04,0.04,0.04,1
41976,0.06,0.03,0.03,0.13,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,5
41977,0.02,0.01,0.01,0.03,0.02,0.04,0.01,0.07,0.1,0.15,0.03,0.01,20
41978,0.04,0.04,0.08,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,2
41979,0.05,0.06,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,19
41980,0.04,0.12,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1
41981,0.05,0.02,0.05,0.02,0.02,0.1,0.02,0.05,0.02,0.21,0.02,0.05,20
41982,0.03,0.02,0.02,0.02,0.02,0.05,0.02,0.05,0.03,0.2,0.03,0.02,20
41983,0.04,0.04,0.04,0.04,0.04,0.07,0.04,0.04,0.04,0.04,0.04,0.07,8
41984,0.03,0.06,0.03,0.03,0.07,0.03,0.06,0.08,0.03,0.03,0.03,0.03,9
41985,0.07,0.07,0.07,0.03,0.03,0.07,0.07,0.04,0.07,0.03,0.03,0.03,0
41986,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.07,0.04,0.08,0.04,0.04,20
41987,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.03,0.03,0.11,0.03,0.03,20
41988,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.09,0.06,0.07,0.04,0.02,7
41989,0.04,0.04,0.04,0.04,0.04,0.07,0.04,0.04,0.04,0.11,0.04,0.04,20
41990,0.04,0.02,0.02,0.11,0.02,0.02,0.02,0.07,0.03,0.03,0.02,0.06,5
41991,0.02,0.04,0.04,0.02,0.04,0.04,0.02,0.04,0.07,0.18,0.02,0.02,20
41992,0.03,0.06,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.08,0.03,18
41993,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,3
41994,0.03,0.03,0.03,0.03,0.06,0.06,0.03,0.05,0.05,0.03,0.14,0.03,21
41995,0.03,0.03,0.03,0.14,0.03,0.11,0.03,0.03,0.03,0.04,0.03,0.03,5
41996,0.02,0.02,0.01,0.01,0.02,0.09,0.05,0.02,0.03,0.12,0.03,0.03,20
41997,0.03,0.06,0.06,0.03,0.03,0.17,0.03,0.03,0.05,0.03,0.03,0.03,8
41998,0.03,0.07,0.03,0.03,0.07,0.04,0.03,0.03,0.03,0.07,0.03,0.03,7
41999,0.03,0.07,0.03,0.03,0.07,0.03,0.03,0.03,0.14,0.03,0.03,0.03,15
42000,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,13
42001,0.02,0.04,0.04,0.06,0.04,0.03,0.06,0.05,0.12,0.09,0.04,0.02,15
42002,0.11,0.04,0.04,0.11,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0
42003,0.03,0.03,0.03,0.05,0.03,0.08,0.03,0.03,0.05,0.03,0.12,0.03,21
42004,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,4
42005,0.03,0.03,0.03,0.03,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.03,7
42006,0.04,0.02,0.02,0.03,0.02,0.04,0.02,0.04,0.04,0.05,0.02,0.02,22
42007,0.03,0.03,0.03,0.03,0.03,0.1,0.03,0.03,0.04,0.19,0.03,0.03,20
42008,0.04,0.04,0.04,0.04,0.07,0.04,0.04,0.04,0.04,0.04,0.04,0.04,6
42009,0.04,0.04,0.02,0.12,0.02,0.02,0.02,0.02,0.04,0.02,0.04,0.02,13
42010,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.09,0.02,0.02,9
42011,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,4
42012,0.03,0.03,0.09,0.03,0.03,0.06,0.03,0.06,0.04,0.06,0.05,0.06,2
42013,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,3
42014,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.03,0.16,0.03,0.06,20
42015,0.02,0.02,0.01,0.06,0.01,0.01,0.02,0.01,0.37,0.07,0.01,0.01,15
42016,0.03,0.07,0.03,0.03,0.1,0.03,0.03,0.03,0.03,0.03,0.03,0.03,3
42017,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,3
42018,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,4
42019,0.03,0.03,0.03,0.06,0.07,0.03,0.03,0.04,0.04,0.03,0.08,0.03,21
42020,0.04,0.07,0.03,0.03,0.03,0.07,0.03,0.05,0.03,0.04,0.04,0.07,19
42021,0.07,0.04,0.02,0.02,0.02,0.07,0.04,0.02,0.02,0.08,0.04,0.02,17
42022,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.08,0.04,0.04,0.04,12
42023,0.04,0.04,0.04,0.08,0.04,0.08,0.08,0.04,0.04,0.04,0.04,0.04,5
42024,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.12,0.04,0.04,20
42025,0.04,0.07,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.11,0.04,0.04,20
42026,0.08,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0
42027,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0
42028,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,7
42029,0.03,0.03,0.03,0.09,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.06,14
42030,0.02,0.02,0.02,0.04,0.02,0.2,0.02,0.04,0.04,0.09,0.07,0.02,8
42031,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1
42032,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,11
42033,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,19
42034,0.04,0.04,0.04,0.07,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,6
42035,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.09,0.18,0.03,0.03,20
42036,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.03,0.11,0.07,0.03,0.03,15
42037,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,8
42038,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0
42039,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,7
42040,0.03,0.03,0.03,0.18,0.03,0.03,0.04,0.03,0.03,0.06,0.03,0.03,5
42041,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.03,0.03,0.03,0.03,0.03,3
42042,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,9
42043,0.08,0.02,0.04,0.03,0.02,0.02,0.04,0.09,0.04,0.07,0.07,0.02,17
42044,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,2
42045,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1
42046,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,4
42047,0.04,0.04,0.04,0.04,0.07,0.04,0.04,0.05,0.04,0.04,0.07,0.04,14
42048,0.04,0.04,0.04,0.04,0.04,0.04,0.07,0.04,0.04,0.04,0.04,0.04,3
42049,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1
